Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,GovBudget,Debt/GDP,Current Account,Population
Mongolia                                          ,17,6.10,13.00,9.00,5.20,-1.90,48.00,-15.80,3.45
Brunei                                            ,17,,5.50,-0.70,7.20,-5.40,2.10,11.20,0.45
Benin                                             ,17,,5.25,-1.10,1.70,-5.50,52.80,-5.70,12.91
Nicaragua                                         ,16,,7.00,6.00,3.50,0.80,60.40,-1.40,6.73
Laos                                              ,16,,7.50,25.24,2.60,-0.30,68.01,-0.07,7.44
Madagascar                                        ,15,,9.50,8.20,2.10,-4.50,38.20,-5.40,29.61
Republic of the Congo                             ,15,,5.00,4.70,21.80,6.50,99.57,19.20,5.97
Afghanistan                                       ,15,,14.94,-8.10,13.30,-3.10,7.40,-17.30,34.30
Guyana                                            ,15,,5.00,1.03,12.40,-11.80,27.80,27.30,0.78
Niger                                             ,14,,5.25,7.29,0.50,-6.60,51.20,-15.10,26.21
Moldova                                           ,14,-0.50,4.75,6.30,4.10,-3.30,32.10,-15.80,2.60
Macedonia                                         ,14,0.20,6.30,3.10,12.80,-4.50,51.00,-6.00,1.84
Malawi                                            ,13,,24.00,26.90,5.60,-6.80,66.70,-2.80,20.41
Mauritius                                         ,13,0.70,4.50,4.00,6.40,-5.40,86.00,-11.50,1.26
Namibia                                           ,13,0.36,7.75,5.70,20.80,-5.20,68.90,-12.30,2.60
Rwanda                                            ,13,1.40,7.50,12.90,18.00,-7.90,64.40,-11.60,13.25
Bahamas                                           ,13,,4.00,2.28,10.10,-13.60,88.60,-14.20,0.40
Chad                                              ,13,,5.00,1.90,1.40,-0.20,50.40,0.50,17.41
Equatorial Guinea                                 ,12,,5.00,5.00,8.70,4.80,27.10,3.90,1.67
Kyrgyzstan                                        ,11,,13.00,9.20,2.60,-1.10,63.30,-26.80,7.04
Mauritania                                        ,10,,8.00,1.70,11.10,-1.30,41.90,-14.30,4.73
New Caledonia                                     ,10,,4.75,0.50,12.30,,,,2.74
Tajikistan                                        ,10,,10.00,4.40,7.80,0.30,34.60,6.20,9.72
Monaco                                            ,9,,,,,,,,0.04
Kosovo                                            ,9,,,2.90,12.60,-0.10,19.95,-10.50,1.77
Togo                                              ,8,,5.25,5.00,4.10,-8.40,55.90,-3.70,8.85
Somalia                                           ,8,,,6.21,,,,,17.60
Liechtenstein                                     ,7,,,1.40,1.30,,,,0.04
Maldives                                          ,6,,7.00,2.64,4.90,-14.30,57.90,-16.60,0.58
Montenegro                                        ,6,,,6.10,16.86,-5.20,69.46,-13.20,0.62
Cayman Islands                                    ,6,,,4.10,2.10,-2.10,4.50,-13.60,0.07
Fiji                                              ,5,,0.25,4.00,4.30,-12.20,91.10,-12.10,0.93
Swaziland                                         ,5,,7.50,5.00,24.40,-5.40,19.06,6.00,1.17
Suriname                                          ,4,,10.00,43.40,8.60,-0.90,116.60,-1.70,0.62
Sierra Leone                                      ,4,,21.25,54.59,3.60,-4.80,98.80,-10.30,8.61
Djibouti                                          ,4,,11.20,1.20,27.90,-1.40,47.00,-5.00,1.12
Liberia                                           ,4,,20.00,11.70,3.60,-6.90,51.30,-15.80,5.30
Lesotho                                           ,3,1.30,7.75,6.50,18.00,-6.30,52.10,-7.60,2.31
East Timor                                        ,3,,,8.70,4.90,-4.00,,-11.60,1.34
Burundi                                           ,3,,12.00,26.47,1.00,-8.50,14.50,-13.40,12.89
Bhutan                                            ,3,,6.85,5.07,5.90,-7.80,124.80,-33.80,0.78
Cape Verde                                        ,2,-6.10,1.25,2.00,13.60,-4.20,127.20,-3.40,0.58
Central African Republic                          ,2,,5.00,0.98,6.40,-5.30,50.70,-13.80,5.58
Eritrea                                           ,2,,,7.50,6.60,-2.20,163.80,12.20,3.21
Gambia                                            ,2,,17.00,18.05,4.80,-4.80,80.80,-5.30,2.42
Guinea Bissau                                     ,2,,5.25,3.80,3.60,-5.50,41.10,-1.10,2.11
Seychelles                                        ,2,,2.00,-2.66,4.00,-1.70,65.00,-8.00,0.10
Sao Tome and Principe                             ,1,,10.00,13.01,15.30,-7.20,88.00,-19.40,0.23
Comoros                                           ,1,,3.08,8.00,8.80,-3.00,31.60,-0.50,0.84
South Sudan                                       ,1,,12.00,-3.30,13.00,,,,10.91
